AKCD3001,1552 Tenka Tairan,ASK Kodansha,1993,Japan,SuperCDROM2
HECD4010,3x3 Eyes - Sanjiyan Hensei,NEC Home Electronics,1994,Japan,ArcadeCDROM2
ADCD3001,A. III,Artdink,1993,Japan,SuperCDROM2
GLCD4001,Advanced Variable Geo,TGL,1994,Japan,SuperCDROM2
HCD2028,Adventure Quiz - Capcom World Hatena no Daibouken,Hudson,1992,Japan,SuperCDROM2
NSCD5018,Ai Chou Aniki,NCS,1995,Japan,SuperCDROM2
KMCD3005,Akumajou Dracula X - Chi no Rondo,Konami,1993,Japan,SuperCDROM2
JCCD4014,Alshark [Imperfect],Victor Entertainment,1994,Japan,SuperCDROM2
NAPR-1045,Ane-San,NEC Avenue,1995,Japan,SuperCDROM2
RSCD4006,Alnam no Kiba - Juuzoku Juuni Shinto Densetsu,Right Stuff,1994,Japan,SuperCDROM2
NAPR-1049,Asuka 120% Maxima Burning Fest,NEC Avenue,1995,Japan,SuperCDROM2
PVCD-3010,Aurora Quest - Otaku no Seiza,Pack-In-Video,1993,Japan,SuperCDROM2
TJCD0011,Avenger,Nihon Telenet,1990,Japan,CDROM2
TJCD2024,Babel,Nihon Telenet,1992,Japan,SuperCDROM2
MWCD2004,Baby Jo,Micro World,1992,Japan,SuperCDROM2
SRCD4001,Bakuden Unbalance Zone,Sony Music Entertainment,1994,Japan,SuperCDROM2
HMD-002,Bakuretsu Hunter,Dengeki,1994,Japan,SuperCDROM2
HCD4045,Bakushou Yoshimoto no Shinkigeki,Hudson,1994,Japan,SuperCDROM2
NAPR-1042,Basted,NEC Avenue,1994,Japan,SuperCDROM2
FCCD4001,Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome,Fujicom,1994,Japan,ArcadeCDROM2
HECD5025,Bazaru Degozaru no Game Degozaru,NEC Home Electronics,1996,Japan,SuperCDROM2
HCD8003,Bikkuriman Daijikai,Hudson,1988,Japan,CDROM2
BACD4002,Bishoujo Senshi Sailor Moon,Banpresto,1994,Japan,SuperCDROM2
BACD4004,Bishoujo Senshi Sailor Moon Collection,Banpresto,1994,Japan,SuperCDROM2
MNCD3001,Black Hole Assault,Micronet,1993,Japan,SuperCDROM2
HCD4048,Blood Gear,Hudson,1994,Japan,SuperCDROM2
HCD3054,Bomberman '94 Taikenban,Hudson,1993,Japan,SuperCDROM2
HCD4069,Bomberman Panic Bomber,Hudson,1994,Japan,SuperCDROM2
NAPR-2028,Bonanza Bros.,NEC Avenue,1992,Japan,SuperCDROM2
HECD4007,Brandish,NEC Home Electronics,1994,Japan,ArcadeCDROM2
TJCD1020,Browning,Nihon Telenet,1992,Japan,SuperCDROM2
MWCD2003,Builderland,Micro World,1992,Japan,SuperCDROM2
NBCD1001,Bunilla Syndrome Mahjong,Nichibutsu,1991,Japan,SuperCDROM2
RHCD1001,Burai - Hachigyoku no Yuushi Densetsu,Riverhill Software,1991,Japan,CDROM2
RHCD2004,Burai II - Yami Koutei no Gyakushuu,Riverhill Software,1992,Japan,SuperCDROM2
NAPR-1034,Cal II,NEC Avenue,1993,Japan,SuperCDROM2
NAPR-1039,Cal III,NEC Avenue,1994,Japan,SuperCDROM2
FCCD4002,Cardangels,Fujicom,1994,Japan,SuperCDROM2
KICD3001,CD Battle Hikari no Yuushatachi,King Records,1993,Japan,SuperCDROM2
HCD3049,CD Denjin Rockabilly Tengoku,Hudson,1993,Japan,SuperCDROM2
IGCD3006,Championship Rally,Intec,1993,Japan,SuperCDROM2
NAPR-1033,Chiki Chiki Boys,NEC Avenue,1994,Japan,SuperCDROM2
NSCD2013,Chou Aniki,NCS,1992,Japan,SuperCDROM2
HCD4032,Chou Eiyuu Densetsu - Dynastic Hero,Hudson,1994,Japan,SuperCDROM2
HCD8004,Cobra - Kokuryuuou no Densetsu,Hudson,1989,Japan,CDROM2
HCD1014,Cobra II - Densetsu no Otoko,Hudson,1991,Japan,CDROM2
CJCD2002,Color Wars,Coconuts Japan,1992,Japan,CDROM2
TJCD9003,Cosmic Fantasy - Bouken Shounen Yuu,Nihon Telenet,1990,Japan,CDROM2
TJCD1015,Cosmic Fantasy II - Bouken Shounen Ban,Nihon Telenet,1991,Japan,CDROM2
TJCD2029,Cosmic Fantasy III - Bouken Shounen Rei,Nihon Telenet,1992,Japan,SuperCDROM2
TJCD4040,Cosmic Fantasy IV - Ginga Shounen Densetsu Gekitou Hen,Nihon Telenet,1994,Japan,SuperCDROM2
TJCD4038,Cosmic Fantasy IV - Ginga Shounen Densetsu Totsunyuu Hen,Nihon Telenet,1994,Japan,SuperCDROM2
HCD3043,Cotton - Fantastic Night Dreams,Hudson,1993,Japan,SuperCDROM2
,Crazy Hospital - Fushigi no Kuni no Tenshi,Asia Soft Lab,1997,Japan,SuperCDROM2
HCD3044,Crest of Wolf,Hudson,1993,Japan,SuperCDROM2
NSCD0003,Cyber City OEDO 808,NCS,1991,Japan,CDROM2
NAPR-1019,Daisenpuu Custom,NEC Avenue,1991,Japan,CDROM2
MCCD1003,Daisenryaku II - Campaign Version,Micro Cabin,1992,Japan,SuperCDROM2
NIPR-1002,De-Ja,NEC Interchannel,1996,Japan,SuperCDROM2
HECD5024,Dead of the Brain I II,NEC Home Electronics,1999,Japan,SuperCDROM2
TJCD0007,Death Bringer - The Knight of Darkness,Nihon Telenet,1990,Japan,CDROM2
TJCD0013,Dekoboko Densetsu - Hashire Wagamanma,Nihon Telenet,1990,Japan,CDROM2
TICD4003,Dennou Tenshi - Digital Angel,Tokuma Shoten,1994,Japan,SuperCDROM2
TICD-6008,Develo Magazine Volume I,Tokuma Shoten,1996,Japan,SuperCDROM2
TICD-6004,Develo Starter Kit - Assembler,Tokuma Shoten,1996,Japan,SuperCDROM2
TICD-6007,Develo Starter Kit - Basic,Tokuma Shoten,1996,Japan,SuperCDROM2
HCD2030,Doraemon Nobita no Dorabian Night,Hudson,1992,Japan,SuperCDROM2
NXCD2010,Double Dragon II - The Revenge,Naxat Soft,1993,Japan,SuperCDROM2
NAPR-1051,Doukyuusei,NEC Avenue,1995,Japan,SuperCDROM2
NAPR-1018,Download II,NEC Avenue,1991,Japan,CDROM2
NXCD2015,Downtown Nekketsu Monogatari,Naxat Soft,1993,Japan,SuperCDROM2
MCCD4006,Dragon Half,Micro Cabin,1994,Japan,SuperCDROM2
NAPR-1046,Dragon Knight & Grafitti,NEC Avenue,1995,Japan,SuperCDROM2
NAPR-1029,Dragon Knight II,NEC Avenue,1992,Japan,SuperCDROM2
NAPR-1035,Dragon Knight III,NEC Avenue,1994,Japan,SuperCDROM2
HCD1020,Dragon Slayer - Eiyuu Densetsu,Hudson,1991,Japan,SuperCDROM2
HCD2033,Dragon Slayer - Eiyuu Densetsu II,Hudson,1992,Japan,SuperCDROM2
BNCD4001,Dragon Ball Z - Idainaru Son Gokuu Densetsu,Bandai,1994,Japan,SuperCDROM2
HCD3034,Dungeon Explorer II,Hudson,1993,Japan,SuperCDROM2
JCCD2010,Dungeon Master - Theron's Quest,Victor Entertainment,1992,Japan,SuperCDROM2
BRCD1002,Efera & Jiliora - The Emblem from Darkness,Brain Gray,1991,Japan,CDROM2
ADCD4003,Eikan ha Kimini - Koukou Yakyuu Zenkoku Taikai,Artdink,1994,Japan,ArcadeCDROM2
ICCD3003,Eiyuu Sangokushi,Irem,1993,Japan,SuperCDROM2
HECD3005,Emerald Dragon,NEC Home Electronics,1994,Japan,SuperCDROM2
HMD-001,Emerald Dragon Taikenban,NEC Home Electronics,1994,Japan,SuperCDROM2
TJCD1014,Exile - Toki no Hasama he,Nihon Telenet,1991,Japan,CDROM2
TJCD2028,Exile II - Janen no Jishou,Nihon Telenet,1992,Japan,SuperCDROM2
NBCD2002,F1 Circus Special - Pole to Win,Nichibutsu,1992,Japan,SuperCDROM2
TJCD2026,F1 Team Simulation Project F,Nihon Telenet,1992,Japan,SuperCDROM2
RHCD3007,Faceball,Riverhill Software,1993,Japan,SuperCDROM2
RH3001,Faceball Taikenban,Riverhill Software,1993,Japan,SuperCDROM2
TJCD0008,Faerie Dust Story - Meikyuu no Elfeene,Nihon Telenet,1990,Japan,CDROM2
HMCD2003,Farjius no Jakoutei - Neo Metal Fantasy,Human Entertainment,1992,Japan,SuperCDROM2
NXCD2017,Faussete Amour,Naxat Soft,1993,Japan,SuperCDROM2
RSCD-3002,Fiend Hunter,Right Stuff,1993,Japan,SuperCDROM2
HCD8002,Fighting Street,Hudson,1988,Japan,CDROM2
TJCD0006,Final Zone II,Nihon Telenet,1990,Japan,CDROM2
HMCD4008,Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen,Human Entertainment,1995,Japan,ArcadeCDROM2
RSCD3004,Flash Hiders,Right Stuff,1993,Japan,SuperCDROM2
,Flash Hiders Taikenban,Right Stuff,1993,Japan,SuperCDROM2
NAPR-1025,Forgotten Worlds,NEC Avenue,1992,Japan,SuperCDROM2
HMCD5009,Formation Soccer '95 - Della Serie A,Human Entertainment,1995,Japan,ArcadeCDROM2
MCCD4005,Fray CD Xak Gaiden,Micro Cabin,1994,Japan,SuperCDROM2
HCD3036,Fushigi no Umi no Nadia,Hudson,1993,Japan,SuperCDROM2
NAPR-1032,Gain Ground SX,NEC Avenue,1992,Japan,SuperCDROM2
IGCD3005,Galaxy Deka Gayvan,Intec,1993,Japan,SuperCDROM2
HCD2031,Ginga Ojousama Densetsu Yuna,Hudson,1992,Japan,SuperCDROM2
HCD2031,Ginga Ojousama Densetsu Yuna,Hudson,1992,Japan,SuperCDROM2
HCD5078,Ginga Ojousama Densetsu Yuna HuVideo CD,Hudson,1995,Japan,SuperCDROM2
HCD5075,Ginga Ojousama Densetsu Yuna II - Eternal Princess,Hudson,1995,Japan,SuperCDROM2
HCD9008,Gambler Jikochuushinha - Gekitou 36 Janshi,Hudson,1989,Japan,CDROM2
TPCD1003,Gambler Jikochuushinha - Mahjong Puzzle Collection,Taito,1992,Japan,CDROM2
KOCD3004,Aoki Ookami to Shiroki Mejika - Genchou Hishi,Koei,1993,Japan,SuperCDROM2
,Garou Densetsu II - Aratanaru Tatakai - Sample Disc,Hudson,1994,Japan,ArcadeCDROM2
HCD4060,Garou Densetsu II - Aratanaru Tatakai [Imperfect],Hudson,1994,Japan,ArcadeCDROM2
HCD4067,Garou Densetsu Special,Hudson,1994,Japan,ArcadeCDROM2
HCD2025,Gate of Thunder,Hudson,1992,Japan,SuperCDROM2
BRCD2003,Genocide,Brain Gray,1992,Japan,SuperCDROM2
TPCD1002,Gensou Tairiku Auleria,Taito,1993,Japan,CDROM2
HCD5080,Ginga Fukei Densetsu Sapphire,Hudson,1995,Japan,ArcadeCDROM2
HECD5022,Go! Go! Birdie Chance,NEC Home Electronics,1996,Japan,SuperCDROM2
TMCD2001,God Panic - Shijou Saikyou Gundan,Teichiku Records,1992,Japan,SuperCDROM2
TCCD4001,Godzilla - Bakutou Retsuden,Toho,1994,Japan,SuperCDROM2
TJCD0005,Golden Axe,Nihon Telenet,1990,Japan,CDROM2
HECD4014,Götzendiener,NEC Home Electronics,1994,Japan,SuperCDROM2
KMCD2003,Gradius II - Gofer no Yabou,Konami,1992,Japan,SuperCDROM2
BACD4003,GS Mikami,Banpresto,1994,Japan,SuperCDROM2
PVCD-0002,Gulclight TDF 2,Pack-In-Video,1991,Japan,CDROM2
TICD-4002,Hatsukoi Monogatari,Tokuma Shoten,1994,Japan,SuperCDROM2
PVCD-2007,Hawk F-123,Pack-In-Video,1992,Japan,SuperCDROM2
NAPR-1017,Hellfire S - The Another Story,NEC Avenue,1991,Japan,CDROM2
TJCD-1016,High Grenadier,Nihon Telenet,1991,Japan,CDROM2
PVCD-1004,Hihou Densetsu Chris no Bouken,Pack-In-Video,1991,Japan,CDROM2
TICD-3001,Himitsu no Hanazono,Tokuma Shoten,1993,Japan,SuperCDROM2
NAPR-1027,Horror Story,NEC Avenue,1993,Japan,SuperCDROM2
HCD4056,Hu PGA Tour Power Golf 2 - Golfer,Hudson,1994,Japan,SuperCDROM2
HMCD2002,Human Sports Festival,Human Entertainment,1992,Japan,SuperCDROM2
HCD5077,Hyaku Monogatari - Hontou ni Atta Kowai Hanashi,Hudson,1995,Japan,SuperCDROM2
HACD9002,Hyper Dyne SideArms Special,NEC Avenue,1989,Japan,CDROM2
HCD4068,Hyper Wars,Hudson,1994,Japan,SuperCDROM2
NBCD3003,Iga Ninden Gaiou,Nichibutsu,1993,Japan,SuperCDROM2
ICCD2002,Image Fight II,Irem,1992,Japan,SuperCDROM2
HCD2035,Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi,Hudson,1992,Japan,SuperCDROM2
AICD1002,IQ Panic,IGS,1992,Japan,CDROM2
,J Thunder,<unknown>,1990,Japan,SuperCDROM2
HCD0013,J. B. Harold Satsujin Club,Hudson,1990,Japan,CDROM2
HECD4017,J. League Tremendous Soccer '94,NEC Home Electronics,1994,Japan,ArcadeCDROM2
JCCD0003,Jack Nicklaus World Tour Golf,Victor Entertainment,1990,Japan,CDROM2
HECD5016,Janshin Densetsu - Quest of Jongmaster,NEC Home Electronics,1995,Japan,ArcadeCDROM2
TJCD0012,Jantei Monogatari,Nihon Telenet,1990,Japan,CDROM2
ATCD2004,Jantei Monogatari II - Uchuu Tantei Divan Kanketsu Hen,Atlus,1992,Japan,CDROM2
ATCD1002,Jantei Monogatari II - Uchuu Tantei Divan Shutsudou Hen,Atlus,1992,Japan,CDROM2
ATCD3005,Jantei Monogatari III - Saver Angels,Atlus,1993,Japan,SuperCDROM2
MWCD2006,Jim Power - In Mutant Planet,Micro World,1993,Japan,SuperCDROM2
HACD9001,Juuouki,NEC Avenue,1989,Japan,CDROM2
JCCD9001,Kagami no Kuni no Legend,Victor Entertainment,1989,Japan,CDROM2
NSCD2010,Kaizou Choujin Shubibinman III - Ikai no Princess,NCS,1992,Japan,CDROM2
IGCD3007,Kakutou Haou Densetsu Algunos,Intec,1994,Japan,SuperCDROM2
PVCD-2006,Kawa no Nushi Tsuri - Shizenha,Pack-In-Video,1992,Japan,CDROM2
NXCD3025,Kaze Kiri - Ninja Action,Naxat Soft,1994,Japan,SuperCDROM2
HECD4006,Kaze no Densetsu Xanadu,NEC Home Electronics,1994,Japan,SuperCDROM2
NFCD5001,Kaze no Densetsu Xanadu II,Nihon Falcom,1995,Japan,SuperCDROM2
TJCD2031,Kiaidan 00,Nihon Telenet,1992,Japan,SuperCDROM2
RHCD-3006,Kidou Keisatsu Patlabor - Griffon Hen,Riverhill Soft,1993,Japan,SuperCDROM2
KSCD3004,Kisou Louga,Kogado Studio,1993,Japan,SuperCDROM2
HECD5021,Kisou Louga II - The Ends of Shangrila,NEC Home Electronics,1995,Japan,SuperCDROM2
PVCD4011,KO Seiki Beast - Gaia Fukkatsu Kanketsu Hen,Pack-In-Video,1994,Japan,SuperCDROM2
HCD5076,Kuusou Kagaku Sekai Gulliver Boy,Hudson,1995,Japan,SuperCDROM2
NSCD0005,L-Dis,NCS,1991,Japan,CDROM2
TJCD1019,Lady Phantom,Laser Soft,1991,Japan,SuperCDROM2
NSCD2017,Langrisser - Hikari no Matsuei,NCS,1993,Japan,SuperCDROM2
HMCD2005,Laplace no Ma,Human Entertainment,1993,Japan,SuperCDROM2
HMCD2007,Laplace no Ma - Preview Disk,Human Entertainment,1993,Japan,SuperCDROM2
TJCD3034,Laser Soft Visual Collection Volume I - Cosmic Fantasy Visual Shuu,Nihon Telenet,1993,Japan,CDROM2
TJCD3035,Laser Soft Visual Collection Volume II - Valis Visual Shuu,Nihon Telenet,1993,Japan,CDROM2
BRCD0001,Last Armageddon,Brain Gray,1990,Japan,CDROM2
BRCD0001,Last Armageddon,Brain Gray,1990,Japan,CDROM2
TJCD0010,Legion,Nihon Telenet,1990,Japan,CDROM2
SSCD2003,Lemmings,SunSoft,1992,Japan,SuperCDROM2
HECD5023,Linda³,NEC Home Electronics,1995,Japan,ArcadeCDROM2
HCD2029,Lodoss Tousenki - Record of Lodoss War,Hudson,1992,Japan,CDROM2
HCD4066,Lodoss Tousenki II - Record of Lodoss War II,Hudson,1994,Japan,SuperCDROM2
JCCD2009,Loom,Victor Entertainment,1992,Japan,SuperCDROM2
SACD1001,Lord of Wars,System Soft,1991,Japan,CDROM2
NSCD2007,Choujikuu Yousai Macross 2036,NCS,1992,Japan,SuperCDROM2
NSCD2014,Choujikuu Yousai Macross Eien no Love Song,NCS,1992,Japan,SuperCDROM2
HECD4009,Mad Stalker - Full Metal Force,NEC Home Electronics,1994,Japan,ArcadeCDROM2
,Mad Stalker - Full Metal Force - Sample Disc,NEC Home Electronics,1994,Japan,ArcadeCDROM2
NAPR-1047,Madou Monogatari I - Honou no Sotsuenji [Imperfect],NEC Avenue,1996,Japan,ArcadeCDROM2
HECD4011,Magical Fantasy Adventure - Popful Mail,NEC Home Electronics,1994,Japan,ArcadeCDROM2
JCCD0002,Magical Saurus Tour,Victor Entertainment,1990,Japan,CDROM2
HECD3002,Magicoal,NEC Home Electronics,1993,Japan,SuperCDROM2
NXCD3023,Mahjong Clinic Special,Naxat Soft,1993,Japan,SuperCDROM2
NXCD3028,Mahjong Lemon Angel,Naxat Soft,1994,Japan,SuperCDROM2
NAPR1037,Mahjong on the Beach,NEC Avenue,1993,Japan,SuperCDROM2
NXCD4031,Mahjong Sword - Princess Quest Gaiden,Naxat Soft,1995,Japan,ArcadeCDROM2
,Mahou no Shoujo Silky Lip [Ver 3.1 Prototype][Backup],Nihon Telenet,19??,Japan,SuperCDROM2
,Mahou no Shoujo Silky Lip [Ver 5.0 Prototype][Backup][alt],Nihon Telenet,19??,Japan,SuperCDROM2
NSCD2011,Mamono Hunter Youko - Makai Kara no Tenkousei,NCS,1992,Japan,CDROM2
NSCD2016,Mamono Hunter Youko - Tooki Yobigoe,NCS,1993,Japan,SuperCDROM2
KMCD3006,Martial Champion,Konami,1993,Japan,SuperCDROM2
KSCD1001,Mashou Denki La Valeur,Kogado Studio,1991,Japan,CDROM2
MCCD0002,Master of Monsters,Micro Cabin,1991,Japan,CDROM2
AICD0001,Mateki Densetsu Astralius,IGS,1991,Japan,CDROM2
HECD4008,Megami Paradise,NEC Home Electronics,1994,Japan,SuperCDROM2
PVCD-3008,Metal Angel,Pack-In-Video,1993,Japan,SuperCDROM2
PVCD-4012,Metal Angel II,Pack-In-Video,1995,Japan,SuperCDROM2
HECD2001,Metamor Jupiter,NEC Home Electronics,1993,Japan,SuperCDROM2
NAPR-1022,Might and Magic,NEC Avenue,1992,Japan,CDROM2
HCD3050,Might and Magic III - Isles of Terra,Hudson,1993,Japan,SuperCDROM2
PVCD-2005,Mine Sweeper,Pack-In-Video,1992,Japan,CDROM2
TJCD-2022,Mirai Shonen Conan,Nihon Telenet,1992,Japan,SuperCDROM2
HCD0007,Mitsubachi Gakuen,Hudson,1990,Japan,CDROM2
HCD9006,Monster Lair - Wonderboy III,Hudson,1989,Japan,CDROM2
NAPR-1026,Monster Maker - Yami no Ryuukishi,NEC Avenue,1994,Japan,SuperCDROM2
HECD3003,Moonlight Lady,NEC Home Electronics,1993,Japan,SuperCDROM2
NSCD2015,Motoroader MC,NCS,1992,Japan,SuperCDROM2
NXCD3022,Motteke Tamago [Imperfect],Naxat Soft,1997,Japan,SuperCDROM2
TJCD2023,Mugen Senshi Valis - Legend of a Fantasm Soldier,Nihon Telenet,1992,Japan,SuperCDROM2
MCCD3004,Mystic Formula,Micro Cabin,1993,Japan,SuperCDROM2
NXCD1005,Nekketsu Koukou Dodgeball Bu - Soccer Hen,Naxat Soft,1991,Japan,SuperCDROM2
NXCD2015,Nekketsu Koushinkyoku - Soreyuke Daiundoukai,Naxat Soft,1992,Japan,SuperCDROM2
PVCD-5013,Nekketsu Legend Baseball,Pack-In-Video,1995,Japan,SuperCDROM2
HECD3004,Nemurenumori no Chiisana Ohanashi,NEC Home Electronics,1993,Japan,SuperCDROM2
HCD4062,Neo Nectaris,Hudson,1994,Japan,SuperCDROM2
NXCD2014,Nexzr,Naxat Soft,1992,Japan,SuperCDROM2
NXCD9001,Nishimura Kyoutarou Mystery - Hokutosei no Onna,Naxat Soft,1990,Japan,CDROM2
HCD8001,No Ri Ko,Hudson,1988,Japan,CDROM2
KOCD2001,Nobunaga no Yabou - Bushou Fuuunroku,Koei,1993,Japan,SuperCDROM2
KOCD3005,Nobunaga no Yabou - Zenkokuban,Koei,1993,Japan,SuperCDROM2
CJCD4004,Pachio-kun III - Pachisuro Pachinko,Coconuts Japan,1994,Japan,SuperCDROM2
CJCD1001,Pachio-kun - Maboroshi no Densetsu,Coconuts Japan,1991,Japan,CDROM2
CJCD2003,Pachio-kun - Warau Uchuu,Coconuts Japan,1992,Japan,SuperCDROM2
PVCD3009,Paradion - Auto Crusher Palladium,Pack-In-Video,1994,Japan,SuperCDROM2
